step,elapsed_sec,tokens,lr,train_loss,val_loss,tok_per_sec
10,10.6,163840,5.100000e-05,5.1510,,15409
20,22.1,327680,1.000000e-04,3.6562,,14357
20,28.6,327680,,,3.9201,
30,40.6,491520,5.000000e-06,2.6002,,8830
30,47.3,491520,,,3.9965,
